repo_name,asm_infile,asm_inline,build_scripts,builtins,conditional,intrinsic,syscall,cyclomatic complexity
sqlite,0,13,66,0,14,46,122,62920
pcl-master,0,9,0,0,77,729,296,95312
glfw-master,0,0,0,0,9,3,15,10688
gstreamer-main,3448,1446,0,1,164,1091,251,289775
ChibiOS-master,18229,799,0,1,1,10,17,22008
tinycc-mob,1933,1078,14,6,237,73,43,14839
FreeRTOS-Kernel-main,36123,36541,0,0,3,3,0,5710
u-boot,23437,6283,0,7,94,62,210,231102
nuttx-master,36983,2653,0,9,54,91,340,204446
libpng-code,235,72,56,0,3,88,11,9895
OpenBLAS,1489836,26964,0,9,102,7675,16,449854
libtiff-master,0,0,0,0,3,6,49,15752
curl-master,0,2,4,2,8,5,194,31194
ompi-main,0,272,53,0,83,340,203,58812
coreboot,10548,1729,1,16,80,407,147,117057
math-develop,0,14,0,0,32,152,19,32519
gsl-master,0,5,62,0,8,7,39,30268
moosefs-master,0,0,53,0,0,0,365,17032
ITK-master,0,31,0,0,3,8,148,46904
flann-master,0,0,0,3,2,1,4,2856
superlu-master,0,0,0,0,0,0,3,11943
cgal-master,0,40,0,0,29,1091,1473,184148
kokkos-master,0,32,0,6,14,330,113,24369
Halide-main,5,42,0,3,31,743,1435,52801
libav-master,64962,6911,37,0,116,190,230,90634
HIP-develop,0,5,0,0,0,0,61,6834
flac-master,0,14,14,0,57,3295,17,13811
arrayfire-master,0,4,0,6,2,6,57,21922
portmidi-master,0,0,0,0,0,0,2,1850
src-master,139043,31261,1430,2219,958,37968,7816,2515048
xgboost-master,0,1,0,2,3,10,53,14311
fuchsia-main,303241,1891,0,27,541,278,4487,744079
libsndfile-master,0,3,3,0,4,15,157,11323
libsimdpp-master,0,25,0,8,36,2620,0,9111
freebsd,552140,21810,1066,763,2076,26125,12473,2540938
libusb-master,0,0,0,0,0,0,42,4754
ogre-master,0,51,0,0,12,1059,103,61909
openal-soft-master,0,7,0,3,10,253,87,11915
kicad-master,4299,2620,96,5,441,365,745,185598
openexr-main,0,423,2,0,59,700,30,16536
nanomsg-master,0,0,0,0,0,0,11,3246
libzmq-master,0,61,0,0,6,17,57,9381
libgit2-main,0,9,0,0,11,11,73,42841
postgres-master,81,212,48,3,24,193,552,154736
SDL_mixer-main,0,47,0,0,21,511,7,7502
tinyXML2,0,0,0,0,1,0,5,2423
gRPC,0,5,0,0,29,2449,136,141807
SFML-master,0,23,0,0,12,207,129,14173
ClanLib-master,0,6,0,0,15,921,104,32676
portaudio-master,0,436,87,0,6,1,33,8524
mrpt-develop,0,0,0,10,32,306,355,80843
fluidsynth-master,0,2,0,0,0,0,10,6389
ardupilot-master,318,170,0,15,3,23,319,95303
PEGTL,0,0,0,0,0,19,12,2019
cronie,0,0,0,0,0,0,89,1666
Vc,0,56,0,6,47,4104,2,5789
llama,0,5,0,0,10,254,10,4531
chipmunk2D,0,0,0,0,0,0,2,4966
quantlib,0,0,0,0,0,2,211,36497
libmesh,0,0,70,0,0,39,8,43926
dlib,204,1,0,0,17,214,216,53560
vulkan-headers,0,0,0,0,2,2,9,35495
nfft,0,17,13,0,9,6,1,6069
mbed-os,260637,3339,0,2,20,67,689,450116
libceed,0,0,0,0,0,13,0,11551
tigerVNC,0,0,1,0,0,0,58,17781
libjpeg-turbo,36465,843,7,0,3,2313,10,18394
libmorton,0,0,0,4,7,45,0,313
libbpf,0,16,0,0,13,26,17,6039
dealii,0,68,0,0,16,1080,89,57925
ceres-solver,0,1,0,0,1,0,40,9917
hiredis,0,0,0,0,0,0,5,2231
