repo_name,asm_infile,asm_inline,build_scripts,builtins,conditional,intrinsic,syscall,label
scrub,0,31,0,0,5,0,40,低
mesa,19687,509,0,47,102,987,280,中
tigervnc,0,0,1,0,0,0,58,低
cJSON,0,0,0,0,0,0,0,低
libdb,26,99,61,0,6,2,441,低
hwloc,0,32,14,2,26,1,41,低
vim,0,0,16,0,6,2,147,低
kbd,0,6,6,0,0,0,55,低
libtool,0,0,8,0,0,0,1,低
coreutils,0,658,0,0,4,79,168,中
pv,0,0,0,0,0,0,24,低
jansson,0,0,0,0,0,0,5,低
groff,0,0,5,0,0,0,64,低
ffmpeg,110803,24585,50,2,121,467,475,中
perl5-blead,0,29,0,0,22,16,230,低
json-c,0,9,0,0,4,52,18,低
gazelle,0,0,0,0,0,2,31,低
llvm-project-main,1187501,42994,12,1301,946,36901,2067,高
ncurses,0,0,42,0,0,0,111,低
vinagre,0,0,0,0,0,0,20,低
lcr,0,0,0,0,0,0,34,低
taglib,0,0,0,0,2,6,8,低
oec-hardware,0,0,0,0,0,0,4,低
iSulad,0,0,0,0,0,0,257,低
gdbm,0,0,0,0,0,0,36,低
clucene-code,0,187,0,0,18,17,81,低
libcap-testing,0,0,0,0,0,0,0,低
mpfr,0,707,7,0,6,21,7,中
file,0,0,0,0,0,0,37,低
esc,0,0,0,0,0,0,0,低
less,0,0,0,0,0,0,32,低
sed,0,0,0,0,0,0,3,低
dejagnu,0,1,37,0,0,0,0,低
uperf,0,0,0,0,0,0,14,低
elfutils,273,60,12,2,7,10,228,中
nano,0,0,0,0,0,0,93,低
tslib,0,0,0,0,0,0,25,低
libcap-ng,0,0,0,0,0,0,11,低
dbxtool-devel,0,0,0,0,1,0,4,低
bam,0,0,0,0,4,2,24,低
shadow,0,1,0,0,0,0,177,低
readline,0,0,38,0,2,0,55,低
libexpat,0,0,0,0,3,0,2,低
sombok,0,0,42,0,0,0,5,低
kyua,0,0,4,0,0,0,227,低
dracut,0,0,0,0,0,1,30,低
virt-what,0,5,1,0,2,0,0,低
cython,0,0,0,0,0,0,1,低
dbus,0,0,0,0,2,2,90,低
udisks,0,0,0,0,0,0,48,低
gzip,0,40,0,0,3,3,7,低
gcc,86179,16501,413,2861,728,71892,1527,高
conmon,0,0,1,0,0,0,39,低
c-ares,0,1,3,0,6,0,46,低
gperf,0,0,0,0,0,0,1,低
zlib,365,15,2,0,6,10,81,低
xz,351,9,4,0,21,68,20,低
iputils,0,0,0,0,0,0,5,低
libpipeline,0,0,0,0,0,0,0,低
grep,0,0,0,0,0,0,1,低
bash,68,0,85,0,2,0,218,低
ninja,0,0,0,0,0,0,171,中
fontconfig,0,0,0,1,0,144,117,低
rcs,0,0,1,0,0,0,19,低
tang,0,0,0,0,0,0,4,低
dotconf,0,0,0,0,0,0,6,低
binutils-gdb,1110755,5790,1006,9,221,339,1108,高
diffutils,0,8,65,0,3,0,173,低
bubblewrap,0,0,0,0,2,0,42,低
meson,237,5,0,8,0,54,5,低
busybox,2310,838,7,0,51,18,683,中
enca,0,0,65,0,0,0,7,低
pciutils,0,21,15,0,13,1,41,低
enchant,0,0,0,0,0,0,0,低
pkgconf,0,0,0,0,0,0,2,低
haveged,0,58,55,0,5,2,7,低
soxr-code,0,92,0,0,15,105,3,中
patch,0,0,0,0,0,0,19,低
sassc,0,0,0,0,0,0,0,低
kmod,0,0,0,0,0,0,43,低
iftop,0,0,0,0,0,0,16,
git-master,0,19,0,0,14,47,632,低
attr,0,2,0,0,0,0,3,低
ttembed,0,0,0,0,0,0,0,低
exiv2,0,0,0,0,0,0,193,低
gawk,0,11,111,0,2,0,117,低
gettext,0,49,40,0,6,0,45,低
mpc,0,0,0,0,0,0,3,低
vala,0,0,0,0,0,0,3,低
make,0,2,0,0,3,0,81,低
iproute2,0,3,1,0,3,0,77,
zstd,413,57,0,1,42,257,24,低
tcsh,0,4,77,0,11,12,104,低
dhcp,0,0,43,0,0,0,72,低
autoconf,0,0,39,0,0,0,0,低
giflib-code,0,0,0,0,0,0,9,低
libbpf,0,16,0,0,11,16,18,低
glibc,311288,8938,129,18,164,275,782,高
strace,0,229,43,1,39,1,469,中
glew,0,0,0,0,3,5,0,低
gnome-common,0,0,0,0,0,0,0,低
pcre2,0,83,0,0,120,57,8,低
e2fsprogs,0,3,62,0,8,2,322,低
woff2,0,0,0,0,0,2,0,低
fipscheck,0,0,0,0,0,0,9,低
vino,0,0,0,0,0,0,10,低
fltk,0,9,44,0,7,14,228,低
teckit,4633,814,0,0,7,12,84,低
texinfo,0,23,117,0,2,0,56,低
shim,74,165,0,0,60,55,37,低
etmem,0,0,0,0,0,0,31,低
rootsh-code,0,0,30,0,0,0,18,低
ck,0,993,22,1,17,2,12,低
openssl,6144,365,2,0,75,132,156,
clutter,0,0,0,0,0,19,7,低
check,0,0,0,0,0,0,18,低
flex,0,0,0,0,0,0,7,低
tar,0,0,0,0,0,0,20,低
dump-code,0,0,0,0,0,0,129,低
findutils,0,4,111,0,6,0,380,低
guile,0,52,52,0,16,27,108,中
selinux,0,0,0,1,0,4,204,低
bison,0,0,0,0,0,0,5,低
acl,0,0,0,0,0,0,15,低
automake,0,0,36,0,0,0,0,低
bzip2,0,0,0,0,0,0,2,低
passwd,0,0,0,0,0,0,0,
gnutls,122531,1,8,0,11,3,224,中
cpio,0,0,0,0,0,0,45,低
adcli,0,0,0,0,0,0,22,低
npth,0,0,42,0,0,0,8,低
acpid2-code,0,0,0,0,0,0,30,低
R-4.3.0,176,2962,74,0,9,20,136,中
riscv-openjdk-riscv-port-branch,2968,1648,89,0,144,272,613,高
util-linux-master,0,34,3,0,27,140,587,高
systemd-main,0,23,0,5,69,96,1505,中
